epoch,train_loss,train_time,val_loss,avg_precision,avg_recall,avg_f1,background_precision,background_recall,background_f1,vivienda precaria_precision,vivienda precaria_recall,vivienda precaria_f1,valid_time
0,0.26816222071647644,0:00:59.852489,0.2596561014652252,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:07.359070
1,0.23634766042232513,0:00:59.507626,0.27375876903533936,0.8836003541946411,0.9188613295555115,0.9008859992027283,0.9206461906433105,0.9977218508720398,0.9576356410980225,0.4624179005622864,0.022279519587755203,0.04251084476709366,0:00:07.589874
2,0.2396373748779297,0:00:57.294318,0.27442020177841187,0.8814751505851746,0.9023737907409668,0.8918020129203796,0.9308546185493469,0.9655061960220337,0.947863757610321,0.3200690746307373,0.1846078783273697,0.23415879905223846,0:00:07.184007
3,0.22628556191921234,0:01:00.552275,0.511644184589386,0.8836957812309265,0.650231122970581,0.7491966485977173,0.9496790170669556,0.6541270017623901,0.7746706008911133,0.1335182934999466,0.6059380769729614,0.2188197374343872,0:00:07.130954
4,0.23376835882663727,0:00:58.136120,0.39198994636535645,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:06.958845
5,0.22433100640773773,0:00:57.421238,0.6521954536437988,0.9067842960357666,0.5908301472663879,0.7154785990715027,0.9738277792930603,0.5701643228530884,0.7192289233207703,0.14455290138721466,0.8257837891578674,0.24603715538978577,0:00:07.154850
6,0.21110333502292633,0:00:57.397399,0.44462350010871887,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:06.878676
7,0.20045873522758484,0:00:57.756537,0.27080029249191284,0.9120604395866394,0.9215582013130188,0.9167847633361816,0.922056257724762,0.9991165399551392,0.9590408802032471,0.7984161972999573,0.039781227707862854,0.07578638941049576,0:00:07.014329
8,0.19764678180217743,0:00:57.902498,0.28013476729393005,0.9194368720054626,0.8768609762191772,0.8976444005966187,0.9686661958694458,0.894980251789093,0.9303664565086365,0.3597385585308075,0.6708585023880005,0.4683375656604767,0:00:06.902854
9,0.18304607272148132,0:00:57.760882,0.21627384424209595,0.922764241695404,0.9092074632644653,0.9159356951713562,0.9640217423439026,0.9361600875854492,0.949886679649353,0.4536983370780945,0.6027776002883911,0.5177196860313416,0:00:06.987222
10,0.17761653661727905,0:00:57.729814,0.38401392102241516,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:07.628176
11,0.19772478938102722,0:00:57.681237,0.3127984404563904,0.8811177015304565,0.9165017604827881,0.8984614610671997,0.9234403371810913,0.991347074508667,0.9561895728111267,0.3999428153038025,0.06556890159845352,0.11266659945249557,0:00:06.905881
